tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-03-28,57,78,43,15,71,31,78,PM25,SEDANG,DKI5
2021-03-29,65,91,48,19,67,37,91,PM25,SEDANG,DKI5
2021-03-30,59,76,42,15,55,30,76,PM25,SEDANG,DKI4
2021-03-31,56,69,43,18,48,25,69,PM25,SEDANG,DKI4
2021-04-01,28,52,41,11,43,19,52,PM25,SEDANG,DKI3
2021-04-02,51,70,44,11,42,19,70,PM25,SEDANG,DKI3
2021-04-03,39,67,42,9,57,22,67,PM25,SEDANG,DKI4
2021-04-04,68,103,43,30,49,37,103,PM25,TIDAK SEHAT,DKI3
2021-04-05,61,85,43,15,59,28,85,PM25,SEDANG,DKI3
2021-04-06,43,61,43,10,36,18,61,PM25,SEDANG,DKI2
2021-04-07,30,52,42,11,43,19,52,PM25,SEDANG,DKI2
2021-04-08,39,57,51,12,40,22,57,PM25,SEDANG,DKI2
2021-04-09,55,77,43,14,49,28,77,PM25,SEDANG,DKI5
2021-04-10,64,101,43,16,50,29,101,PM25,TIDAK SEHAT,DKI3
2021-04-11,66,108,50,18,60,31,108,PM25,TIDAK SEHAT,DKI4
2021-04-12,69,93,51,20,54,31,93,PM25,SEDANG,DKI2
2021-04-13,70,82,63,18,64,40,82,PM25,SEDANG,DKI2
2021-04-14,65,81,55,16,65,32,81,PM25,SEDANG,DKI2
2021-04-15,67,88,55,27,50,42,88,PM25,SEDANG,DKI5
2021-04-16,69,94,55,20,50,44,94,PM25,SEDANG,DKI2
2021-04-17,67,118,43,20,39,41,118,PM25,TIDAK SEHAT,DKI5
2021-04-18,57,93,42,16,32,26,93,PM25,SEDANG,DKI5
2021-04-19,63,108,52,14,41,30,108,PM25,TIDAK SEHAT,DKI5
2021-04-20,64,94,52,12,55,30,94,PM25,SEDANG,DKI2
2021-04-21,76,105,56,19,50,37,105,PM25,TIDAK SEHAT,DKI5
2021-04-22,63,99,52,14,60,40,99,PM25,SEDANG,DKI4
2021-04-23,75,112,51,16,65,42,112,PM25,TIDAK SEHAT,DKI4
2021-04-24,88,115,61,18,73,40,115,PM25,TIDAK SEHAT,DKI2
2021-04-25,74,116,55,17,58,36,116,PM25,TIDAK SEHAT,DKI4
2021-04-26,64,117,52,11,59,24,117,PM25,TIDAK SEHAT,DKI4
2021-04-27,75,138,51,12,65,28,138,PM25,TIDAK SEHAT,DKI4
2021-04-28,61,94,51,15,56,34,94,PM25,SEDANG,DKI4
2021-04-29,69,85,60,17,44,38,85,PM25,SEDANG,DKI2
2021-04-30,71,91,57,18,55,42,91,PM25,SEDANG,DKI2
2021-05-01,66,102,51,15,57,33,102,PM25,TIDAK SEHAT,DKI3
2021-05-02,55,89,47,13,53,17,89,PM25,SEDANG,DKI4
2021-05-03,61,95,50,10,51,20,95,PM25,SEDANG,DKI4
2021-05-04,74,113,54,18,39,26,113,PM25,TIDAK SEHAT,DKI4
2021-05-05,73,117,53,20,45,38,117,PM25,TIDAK SEHAT,DKI4
2021-05-06,57,77,53,16,66,38,77,PM25,SEDANG,DKI4
2021-05-07,67,83,61,26,151,45,151,O3,TIDAK SEHAT,DKI3
2021-05-08,60,87,53,12,71,28,87,PM25,SEDANG,DKI4
2021-05-09,46,66,46,9,61,21,66,PM25,SEDANG,DKI4
2021-05-10,55,76,51,10,66,21,76,PM25,SEDANG,DKI3
2021-05-11,69,102,50,12,57,24,102,PM25,TIDAK SEHAT,DKI4
2021-05-12,67,105,52,10,63,21,105,PM25,TIDAK SEHAT,DKI4
2021-05-13,81,115,49,14,48,20,115,PM25,TIDAK SEHAT,DKI5
2021-05-14,56,81,51,9,52,14,81,PM25,SEDANG,DKI5
2021-05-15,62,89,54,11,40,19,89,PM25,SEDANG,DKI4
2021-05-16,54,92,50,9,52,16,92,PM25,SEDANG,DKI4
2021-05-17,54,75,55,11,51,24,75,PM25,SEDANG,DKI5
2021-05-18,41,58,48,10,49,26,58,PM25,SEDANG,DKI3
2021-05-19,61,99,52,17,55,36,99,PM25,SEDANG,DKI4
2021-05-20,66,103,53,12,56,27,103,PM25,TIDAK SEHAT,DKI4
2021-05-21,60,95,58,15,65,34,95,PM25,SEDANG,DKI4
2021-05-22,64,90,62,16,66,36,90,PM25,SEDANG,DKI2
2021-05-23,73,109,64,31,57,40,109,PM25,TIDAK SEHAT,DKI5
2021-05-24,86,118,74,26,72,38,118,PM25,TIDAK SEHAT,DKI4
2021-05-25,56,70,52,15,66,35,70,PM25,SEDANG,DKI5
2021-05-26,62,93,52,12,64,24,93,PM25,SEDANG,DKI4
2021-05-27,60,79,52,10,62,20,79,PM25,SEDANG,DKI4
2021-05-28,66,93,53,12,63,24,93,PM25,SEDANG,DKI4
2021-05-29,60,91,46,14,66,32,91,PM25,SEDANG,DKI4
2021-05-30,53,72,55,17,51,29,72,PM25,SEDANG,DKI4
2021-05-31,62,93,49,20,71,37,93,PM25,SEDANG,DKI4
2021-06-01,73,105,50,18,64,35,105,PM25,TIDAK SEHAT,DKI3
2021-06-02,68,100,54,20,76,38,100,PM25,SEDANG,DKI4
2021-06-03,68,93,57,20,61,41,93,PM25,SEDANG,DKI2
2021-06-04,66,100,48,13,76,30,100,PM25,SEDANG,DKI4
2021-06-05,64,93,51,20,65,38,93,PM25,SEDANG,DKI4
2021-06-06,63,95,50,15,72,32,95,PM25,SEDANG,DKI3
2021-06-07,61,86,52,15,68,31,86,PM25,SEDANG,DKI4
2021-06-08,70,103,53,16,72,38,103,PM25,TIDAK SEHAT,DKI4
2021-06-09,68,108,54,14,67,34,108,PM25,TIDAK SEHAT,DKI4
2021-06-10,71,108,56,23,48,47,108,PM25,TIDAK SEHAT,DKI4
2021-06-11,65,99,51,15,61,40,99,PM25,SEDANG,DKI4
2021-06-12,67,93,54,17,57,35,93,PM25,SEDANG,DKI4
2021-06-13,55,80,52,14,58,25,80,PM25,SEDANG,DKI4
2021-06-14,69,103,53,13,58,26,103,PM25,TIDAK SEHAT,DKI4
2021-06-15,73,114,52,13,44,29,114,PM25,TIDAK SEHAT,DKI3
2021-06-16,67,97,66,25,43,55,97,PM25,SEDANG,DKI5
2021-06-17,66,102,51,28,44,41,102,PM25,TIDAK SEHAT,DKI4
2021-06-18,77,102,59,23,49,45,102,PM25,TIDAK SEHAT,DKI4
2021-06-19,64,102,59,21,41,45,102,PM25,TIDAK SEHAT,DKI4
2021-06-20,81,140,66,26,44,58,140,PM25,TIDAK SEHAT,DKI4
2021-06-21,62,90,55,16,44,35,90,PM25,SEDANG,DKI4
2021-06-22,59,84,54,16,38,35,84,PM25,SEDANG,DKI4
2021-06-23,66,107,52,17,51,43,107,PM25,TIDAK SEHAT,DKI4
2021-06-24,80,119,54,19,42,52,119,PM25,TIDAK SEHAT,DKI4
2021-06-25,85,147,58,30,40,63,147,PM25,TIDAK SEHAT,DKI4
2021-06-26,67,118,53,10,53,23,118,PM25,TIDAK SEHAT,DKI4
2021-06-27,72,134,57,22,57,41,134,PM25,TIDAK SEHAT,DKI4
2021-06-28,65,117,53,18,61,38,117,PM25,TIDAK SEHAT,DKI4
2021-06-29,75,128,52,24,51,50,128,PM25,TIDAK SEHAT,DKI5
2021-06-30,79,125,57,19,55,38,125,PM25,TIDAK SEHAT,DKI4
2021-07-01,64,114,53,14,48,31,114,PM25,TIDAK SEHAT,DKI4
2021-07-02,68,108,56,23,40,51,108,PM25,TIDAK SEHAT,DKI4
2021-07-03,80,141,54,13,44,27,141,PM25,TIDAK SEHAT,DKI4
2021-07-04,94,161,51,15,50,25,161,PM25,TIDAK SEHAT,DKI4
2021-07-05,83,153,56,13,62,26,153,PM25,TIDAK SEHAT,DKI4
2021-07-06,68,102,51,10,55,29,102,PM25,TIDAK SEHAT,DKI3
2021-07-07,84,130,54,12,51,27,130,PM25,TIDAK SEHAT,DKI4
2021-07-08,83,145,56,11,50,26,145,PM25,TIDAK SEHAT,DKI4
2021-07-09,92,156,59,11,56,26,156,PM25,TIDAK SEHAT,DKI4
2021-07-10,78,132,54,10,63,23,132,PM25,TIDAK SEHAT,DKI4
2021-07-11,66,119,54,10,54,17,119,PM25,TIDAK SEHAT,DKI4
2021-07-12,64,59,52,9,44,14,64,PM10,SEDANG,DKI2
2021-07-13,78,119,54,11,43,26,119,PM25,TIDAK SEHAT,DKI2
2021-07-14,66,116,51,13,50,26,116,PM25,TIDAK SEHAT,DKI4
2021-07-15,95,174,62,15,56,30,174,PM25,TIDAK SEHAT,DKI4
2021-07-16,85,138,53,11,53,29,138,PM25,TIDAK SEHAT,DKI4
2021-07-17,74,134,55,10,58,20,134,PM25,TIDAK SEHAT,DKI4
2021-07-18,82,150,55,13,58,27,150,PM25,TIDAK SEHAT,DKI4
2021-07-19,80,140,51,11,77,28,140,PM25,TIDAK SEHAT,DKI4
2021-07-20,86,147,51,15,60,24,147,PM25,TIDAK SEHAT,DKI4
2021-07-21,55,102,52,9,58,19,102,PM25,TIDAK SEHAT,DKI4
2021-07-22,60,110,53,11,54,27,110,PM25,TIDAK SEHAT,DKI4
2021-07-23,63,104,52,10,59,28,104,PM25,TIDAK SEHAT,DKI4
2021-07-24,66,104,54,13,51,34,104,PM25,TIDAK SEHAT,DKI4
2021-07-25,81,148,55,24,54,42,148,PM25,TIDAK SEHAT,DKI4
2021-07-26,79,131,54,16,46,32,131,PM25,TIDAK SEHAT,DKI4
2021-07-27,82,140,56,13,41,35,140,PM25,TIDAK SEHAT,DKI4
2021-07-28,82,145,53,18,40,45,145,PM25,TIDAK SEHAT,DKI4
2021-07-29,78,140,52,18,53,39,140,PM25,TIDAK SEHAT,DKI5
2021-07-30,90,154,54,15,81,35,154,PM25,TIDAK SEHAT,DKI4
2021-07-31,63,100,50,18,65,29,100,PM26,SEDANG,DKI4
2021-08-01,55,86,50,9,67,22,86,PM25,SEDANG,DKI4
2021-08-02,52,81,50,10,59,28,81,PM25,SEDANG,DKI4
2021-08-03,61,104,53,12,47,35,104,PM25,TIDAK SEHAT,DKI4
2021-08-04,64,89,53,9,50,26,89,PM25,SEDANG,DKI2
2021-08-05,61,90,55,11,58,27,90,PM25,SEDANG,DKI4
2021-08-06,76,105,58,20,38,52,105,PM25,TIDAK SEHAT,DKI4
2021-08-07,63,101,53,10,48,18,101,PM25,TIDAK SEHAT,DKI4
2021-08-08,60,92,53,9,57,17,92,PM25,SEDANG,DKI4
2021-08-09,56,82,52,8,57,16,82,PM25,SEDANG,DKI4
2021-08-10,36,68,48,8,55,19,68,PM25,SEDANG,DKI4
2021-08-11,61,102,50,12,59,25,102,PM25,TIDAK SEHAT,DKI4
2021-08-12,65,104,52,10,47,20,104,PM25,TIDAK SEHAT,DKI4
2021-08-13,61,101,51,11,49,32,101,PM25,TIDAK SEHAT,DKI4
2021-08-14,73,116,53,15,53,40,116,PM25,TIDAK SEHAT,DKI5
2021-08-15,63,114,53,12,46,30,114,PM25,TIDAK SEHAT,DKI4
2021-08-16,60,100,54,9,42,21,100,PM25,SEDANG,DKI4
2021-08-17,62,103,51,13,40,22,103,PM25,TIDAK SEHAT,DKI4
2021-08-18,62,97,51,11,42,26,97,PM25,SEDANG,DKI4
2021-08-19,72,119,55,15,28,36,119,PM25,TIDAK SEHAT,DKI4
2021-08-20,73,106,55,12,34,34,106,PM25,TIDAK SEHAT,DKI4
2021-08-21,60,89,51,13,33,35,89,PM25,SEDANG,DKI5
2021-08-22,74,134,52,14,29,29,134,PM25,TIDAK SEHAT,DKI4
2021-08-23,66,106,52,13,33,27,106,PM25,TIDAK SEHAT,DKI4
2021-08-24,69,110,52,12,41,30,110,PM25,TIDAK SEHAT,DKI4
2021-08-25,69,106,51,12,38,34,106,PM25,TIDAK SEHAT,DKI4
2021-08-26,64,96,51,10,31,33,96,PM25,SEDANG,DKI5
2021-08-27,63,105,52,11,32,31,105,PM25,TIDAK SEHAT,DKI4
2021-08-28,76,123,51,11,44,27,123,PM25,TIDAK SEHAT,DKI4
2021-08-29,68,122,52,12,36,29,122,PM25,TIDAK SEHAT,DKI4
2021-08-30,87,140,52,17,39,41,140,PM25,TIDAK SEHAT,DKI4
2021-08-31,74,109,51,19,48,33,109,PM25,TIDAK SEHAT,DKI4
2021-09-01,79,118,55,16,32,38,118,PM25,TIDAK SEHAT,DKI4
2021-09-02,66,115,52,15,39,28,115,PM25,TIDAK SEHAT,DKI4
2021-09-03,66,111,51,11,45,30,111,PM25,TIDAK SEHAT,DKI4
